City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Awjilah,29.1081,21.2869,35.38,8,0,4.75,LY,1622047220
Nurmijärvi,60.4641,24.8073,7.98,91,75,1.79,FI,1622047220
Poum,-20.2333,164.0167,22.0,60,38,5.17,NC,1622047220
Ketchikan,55.3422,-131.6461,8.26,81,90,1.54,US,1622047221
Ushuaia,-54.8,-68.3,-1.19,100,75,10.29,AR,1622046978
Rikitea,-23.1203,-134.9692,24.84,79,38,11.23,PF,1622047221
Vaini,-21.2,-175.2,18.09,100,20,0.0,TO,1622047222
Albany,42.6001,-73.9662,28.79,57,41,0.45,US,1622046980
Pala,9.3642,14.9046,33.85,29,60,0.58,TD,1622047222
Chui,-33.6971,-53.4616,16.14,50,36,4.27,UY,1622047222
Kapaa,22.0752,-159.319,21.18,88,1,3.3,US,1622047223
Carnarvon,-24.8667,113.6333,16.04,63,100,5.14,AU,1622047175
Jurm,36.8648,70.8342,17.68,52,37,0.96,AF,1622047223
Kaitangata,-46.2817,169.8464,1.49,69,11,1.9,NZ,1622047223
Mataura,-46.1927,168.8643,0.8,85,36,1.46,NZ,1622047224
Atuona,-9.8,-139.0333,26.05,73,33,5.31,PF,1622047224
Dikson,73.5069,80.5464,-2.75,96,100,6.19,RU,1622047224
Tasiilaq,65.6145,-37.6368,3.09,96,100,16.71,GL,1622047225
Castro,-24.7911,-50.0119,18.26,48,96,1.27,BR,1622047225
Chapais,49.7834,-74.8492,20.88,72,100,7.86,CA,1622047225
Mar del Plata,-38.0023,-57.5575,15.91,59,0,7.6,AR,1622046996
Rāwah,34.4816,41.9093,32.21,11,0,3.26,IQ,1622047226
Hilo,19.7297,-155.09,22.03,80,90,2.57,US,1622047159
San Cristobal,7.7669,-72.225,26.1,37,25,4.67,VE,1622047226
Barrow,71.2906,-156.7887,-1.99,93,90,6.69,US,1622047226
Punta Arenas,-53.15,-70.9167,2.96,70,20,8.45,CL,1622047085
Gobabis,-22.45,18.9667,16.53,26,0,4.28,NA,1622047227
Nikolskoye,59.7035,30.7861,11.79,89,82,3.95,RU,1622047227
Mehamn,71.0357,27.8492,3.97,60,75,1.03,NO,1622047227
Mossamedes,-15.1961,12.1522,25.17,63,0,2.42,AO,1622047228
Hermanus,-34.4187,19.2345,14.33,83,90,1.3,ZA,1622047228
Ābdānān,32.9926,47.4198,26.52,20,0,3.42,IR,1622047228
Sibiti,-3.6819,13.3499,24.38,80,60,0.79,CG,1622047229
Isangel,-19.55,169.2667,21.31,77,16,2.91,VU,1622047229
Port Elizabeth,-33.918,25.5701,16.16,77,0,1.54,ZA,1622047136
Toyooka,35.5333,134.8333,15.73,70,100,3.68,JP,1622047229
Klyuchi,52.2667,79.1667,28.2,22,24,3.7,RU,1622047230
Cidreira,-30.1811,-50.2056,19.08,48,0,2.69,BR,1622047118
Karachi,24.9056,67.0822,30.9,74,40,6.17,PK,1622046655
Severo-Kuril'sk,50.6789,156.125,3.34,98,100,6.86,RU,1622047191
Caniço,32.6333,-16.85,21.66,74,40,0.45,PT,1622047231
Cabo San Lucas,22.8909,-109.9124,32.25,48,53,3.82,MX,1622047231
Ascension,30.2169,-90.9001,29.15,65,75,0.0,US,1622047231
Saint George,37.1041,-113.5841,28.1,13,1,0.89,US,1622047025
Kobayashi,31.9833,130.9833,17.05,99,100,1.69,JP,1622047232
Mahon,39.8885,4.2658,20.31,56,0,4.63,ES,1622047232
Butaritari,3.0707,172.7902,28.52,78,100,8.9,KI,1622047171
Constitución,-35.3333,-72.4167,17.56,67,5,3.92,CL,1622047049
Ponta do Sol,32.6667,-17.1,21.41,71,90,1.63,PT,1622047105
Upernavik,72.7868,-56.1549,0.44,86,64,4.33,GL,1622047233
Thompson,55.7435,-97.8558,-2.91,63,90,5.14,CA,1622047173
Provideniya,64.3833,-173.3,6.42,47,69,7.3,RU,1622047218
Avarua,-21.2078,-159.775,26.03,94,75,2.57,CK,1622047156
Dubti,11.7361,41.0853,38.73,13,97,2.5,ET,1622047233
Le Creusot,46.8071,4.4163,17.12,75,95,2.66,FR,1622047234
Le Vauclin,14.5452,-60.8388,29.78,62,75,7.31,MQ,1622047234
Anadyr,64.75,177.4833,9.28,34,0,3.56,RU,1622047234
Taunusstein,50.15,8.15,11.29,78,40,1.79,DE,1622047235
Kamenka,51.3223,42.7678,16.75,65,73,2.26,RU,1622047235
Bethel,41.3712,-73.414,27.65,63,1,0.89,US,1622047235
Khatanga,71.9667,102.5,-1.82,96,100,4.65,RU,1622047236
Srednekolymsk,67.45,153.6833,7.63,69,100,5.82,RU,1622047236
Huarmey,-10.0681,-78.1522,22.49,74,30,4.18,PE,1622047236
Amahai,-3.3333,128.9167,25.51,87,96,1.75,ID,1622047236
Praia,14.9215,-23.5087,28.3,51,20,8.23,CV,1622047237
Half Moon Bay,37.4636,-122.4286,16.46,70,1,2.67,US,1622047237
Manuk Mangkaw,4.8,119.85,28.58,72,48,1.26,PH,1622047237
Saint-Philippe,-21.3585,55.7679,22.3,83,53,1.59,RE,1622047238
Waddān,29.1614,16.139,35.76,12,0,6.36,LY,1622047238
Ashgabat,37.95,58.3833,28.92,37,75,7.2,TM,1622046958
Hong Kong,22.2855,114.1577,29.27,83,68,1.34,HK,1622047134
Mabaruma,8.2,-59.7833,23.41,99,100,1.57,GY,1622047239
Yumen,40.2833,97.2,20.1,11,3,2.32,CN,1622047239
Cravo Norte,6.3017,-70.2041,25.98,84,97,1.34,CO,1622047239
Petropavlovsk-Kamchatskiy,53.0452,158.6483,3.33,100,90,3.1,RU,1622047206
Marawi,7.9986,124.2928,19.25,94,94,0.45,PH,1622047240
Trivandrum,8.4833,76.9167,27.99,83,40,5.14,IN,1622047240
Saldanha,-33.0117,17.9442,16.03,80,89,2.91,ZA,1622047200
Omboué,-1.5746,9.2618,26.27,88,81,3.86,GA,1622047241
Port Alfred,-33.5906,26.891,16.53,74,94,1.97,ZA,1622047241
El Rosario,24.2556,-107.1828,31.36,25,46,3.08,MX,1622047241
Busselton,-33.65,115.3333,11.69,64,100,5.46,AU,1622047242
Buenos Aires,-34.6132,-58.3772,18.5,52,32,5.22,AR,1622047036
Torbay,47.6666,-52.7314,9.56,88,90,3.09,CA,1622047242
Bengkulu,-3.8004,102.2655,25.61,84,100,2.07,ID,1622047242
Saskylakh,71.9167,114.0833,6.3,84,100,1.62,RU,1622047243
Cape Town,-33.9258,18.4232,15.1,74,0,0.45,ZA,1622047192
Koumac,-20.5667,164.2833,19.54,66,8,3.25,NC,1622047243
Maningrida,-12.0667,134.2667,21.11,84,27,4.32,AU,1622047035
Fortuna,40.5982,-124.1573,10.83,88,48,3.06,US,1622047122
Aksarka,66.5606,67.7975,2.61,48,30,6.29,RU,1622047244
Sola,-13.8833,167.55,24.63,63,35,7.32,VU,1622047244
Uvat,59.1433,68.8953,9.28,84,87,7.8,RU,1622047244
Aklavik,68.2191,-135.0107,-1.0,80,90,6.69,CA,1622047245
Severnyy,50.677,36.5532,23.02,40,0,2.0,RU,1622047245
Broome,42.2506,-75.833,28.88,55,1,1.34,US,1622047245
Abidjan,5.3094,-4.0197,29.98,79,20,4.3,CI,1622046946
Richards Bay,-28.783,32.0377,18.99,88,5,1.54,ZA,1622047246
Te Anau,-45.4167,167.7167,4.4,92,85,1.41,NZ,1622047246
Puerto Ayora,-0.7393,-90.3518,24.75,88,28,1.79,EC,1622047246
São José da Coroa Grande,-8.8978,-35.1478,27.71,64,13,5.46,BR,1622047247
Avilés,43.5547,-5.9248,16.27,75,20,4.12,ES,1622047247
Catió,11.2833,-15.25,30.67,48,94,4.94,GW,1622047247
San Patricio,28.017,-97.5169,29.32,67,11,7.08,US,1622047248
Lüderitz,-26.6481,15.1594,17.69,73,4,3.15,NA,1622047248
Hobart,-42.8794,147.3294,7.71,87,75,4.2,AU,1622047248
Puerto Peñasco,31.3167,-113.5333,25.51,57,57,5.36,MX,1622047249
East London,-33.0153,27.9116,17.52,88,0,2.06,ZA,1622047182
Nagua,19.3832,-69.8474,28.2,69,40,3.96,DO,1622047249
Hithadhoo,-0.6,73.0833,28.68,73,94,8.82,MV,1622047160
Parintins,-2.6283,-56.7358,33.01,50,44,1.64,BR,1622047250
Shimoda,34.6667,138.95,17.28,77,100,4.39,JP,1622047250
Vallenar,-28.5708,-70.7581,30.97,4,70,1.55,CL,1622047250
Norrköping,58.5942,16.1826,9.08,93,100,5.14,SE,1622047250
George Town,5.4112,100.3354,28.84,81,40,2.06,MY,1622047017
Kibondo,-3.5864,30.7203,18.27,76,39,1.61,TZ,1622047251
Flin Flon,54.7682,-101.865,0.91,51,20,2.37,CA,1622047134
Aykhal,66.0,111.5,6.46,70,61,2.54,RU,1622047251
Bluff,-46.6,168.3333,4.78,84,56,4.65,NZ,1622047252
Gōtsuchō,35.0,132.2167,14.43,91,100,2.91,JP,1622047252
Guerrero Negro,27.9769,-114.0611,20.87,55,98,4.72,MX,1622047252
Kondinskoye,59.6481,67.41,9.71,90,100,7.78,RU,1622047253
Margate,51.3813,1.3862,14.12,61,58,1.79,GB,1622047055
Cody,44.5263,-109.0565,10.69,76,1,4.63,US,1622047253
Carthage,36.8611,10.3316,23.74,38,20,2.06,TN,1622047253
Tazovsky,67.4667,78.7,-2.62,88,19,2.98,RU,1622047251
Seoul,37.5683,126.9778,16.74,58,0,4.42,KR,1622047096
Baturaja,-4.1333,104.1667,24.0,96,100,1.0,ID,1622047254
Bredasdorp,-34.5322,20.0403,14.62,77,90,0.46,ZA,1622047254
Ormara,25.2088,64.6357,29.93,82,0,5.18,PK,1622047254
Havelock,34.8791,-76.9013,27.84,70,40,3.13,US,1622047255
Oranjemund,-28.55,16.4333,14.5,85,46,2.56,NA,1622047255
Garachiné,8.0647,-78.3628,28.68,76,98,2.7,PA,1622047256
Cootamundra,-34.65,148.0333,1.08,89,4,1.52,AU,1622047256
Noumea,-22.2763,166.4572,20.56,99,17,2.63,NC,1622046802
Norman Wells,65.282,-126.8329,8.02,66,75,4.63,CA,1622047256
Kavaratti,10.5669,72.642,28.92,72,97,7.37,IN,1622047237
Camaná,-16.6228,-72.7111,20.35,74,96,2.28,PE,1622047257
Deputatsky,69.3,139.9,4.55,78,47,3.82,RU,1622047257
Ribeira Grande,38.5167,-28.7,20.22,56,20,2.06,PT,1622047257
La Ronge,55.1001,-105.2842,2.14,51,1,2.57,CA,1622047192
Port Blair,11.6667,92.75,28.88,83,100,7.44,IN,1622047258
Kahului,20.8947,-156.47,22.35,83,40,2.06,US,1622047000
Ovalle,-30.5983,-71.2003,27.4,13,0,1.09,CL,1622047258
Lebu,-37.6167,-73.65,15.92,81,98,3.63,CL,1622047165
Chokurdakh,70.6333,147.9167,-0.46,81,35,3.79,RU,1622047259
Touros,-5.1989,-35.4608,30.5,64,43,8.05,BR,1622047259
Guaramirim,-26.4731,-49.0028,22.99,57,7,1.15,BR,1622047260
Punta Cardon,11.6581,-70.215,28.6,68,100,11.89,VE,1622047260
Liwale,-9.7667,37.9333,21.94,56,99,1.97,TZ,1622047260
Buraidah,26.326,43.975,37.25,10,0,4.17,SA,1622047261
Zhangzhou,24.5133,117.6556,27.96,93,71,0.83,CN,1622047261
Yulara,-25.2406,130.9889,8.91,61,38,3.6,AU,1622047261
Naantali,60.4674,22.0243,7.94,93,90,10.72,FI,1622047262
Kaposmérő,46.3617,17.704,19.92,67,3,1.59,HU,1622047262
Kruisfontein,-34.0033,24.7314,14.94,84,81,1.05,ZA,1622047262
Ambilobe,-13.2,49.05,21.55,84,5,1.32,MG,1622047258
Ancud,-41.8697,-73.8203,12.7,97,100,3.98,CL,1622047001
Sawākin,19.1059,37.3321,32.23,46,5,1.95,SD,1622047174
Paamiut,61.994,-49.6678,3.07,75,100,0.91,GL,1622047263
Jamestown,42.097,-79.2353,24.82,64,75,6.71,US,1622047039
Teguise,29.0605,-13.564,20.12,56,20,7.77,ES,1622047264
Sitka,57.0531,-135.33,7.94,87,90,0.0,US,1622047264
Dali,25.7,100.1833,18.13,87,51,2.3,CN,1622047264
Araguaína,-7.1911,-48.2072,32.84,33,2,2.87,BR,1622047265
Tërny,50.9833,33.9833,18.31,85,47,2.39,UA,1622047265
Batangafo,7.3008,18.2833,23.33,84,96,0.79,CF,1622047265
Souillac,-20.5167,57.5167,23.21,94,75,2.51,MU,1622047266
Katsuura,35.1333,140.3,18.15,83,100,2.7,JP,1622047266
Eureka,40.8021,-124.1637,10.99,89,36,0.45,US,1622046995
Port Macquarie,-31.4333,152.9167,13.27,64,3,7.05,AU,1622047133
Yellowknife,62.456,-114.3525,7.11,39,40,2.24,CA,1622047148
Kampene,-3.6,26.6667,22.09,78,54,0.12,CD,1622047267
Bambous Virieux,-20.3428,57.7575,23.14,94,75,2.9,MU,1622047267
Kaniama,-7.5667,24.1833,22.03,36,3,1.34,CD,1622047267
Uauá,-9.8414,-39.4817,32.13,33,4,7.43,BR,1622047268
Alekseyevsk,57.8406,108.3492,6.29,92,97,1.59,RU,1622047268
Kampot,10.6167,104.1833,28.03,88,100,3.13,KH,1622047269
Hauterive,46.0901,3.4459,20.01,62,68,2.38,FR,1622047269
Padang,-0.9492,100.3543,26.75,87,92,1.99,ID,1622047179
Nantucket,41.2835,-70.0995,18.32,89,90,6.69,US,1622047030
Laguna,38.421,-121.4238,21.88,45,1,0.45,US,1622047270
Safi,32.2994,-9.2372,19.56,78,39,5.3,MA,1622047270
Semey,50.4111,80.2275,23.12,33,0,1.0,KZ,1622047270
Nemuro,43.3236,145.575,6.85,79,28,6.0,JP,1622047270
Mirador,-6.3708,-44.3631,33.16,33,4,2.79,BR,1622047271
Virginia Beach,36.8529,-75.978,31.29,54,40,5.66,US,1622046625
Tautira,-17.7333,-149.15,24.01,76,30,3.76,PF,1622047004
Vestmannaeyjar,63.4427,-20.2734,7.55,93,90,12.86,IS,1622047271
Vila Velha,-20.3297,-40.2925,26.5,71,40,3.13,BR,1622047210
Yenagoa,4.9247,6.2642,27.43,85,100,2.26,NG,1622047272
Vao,-22.6667,167.4833,21.86,69,48,5.3,NC,1622047272
Ca Mau,9.1769,105.15,25.47,89,100,2.99,VN,1622047273
Rocha,-34.4833,-54.3333,16.47,55,43,5.02,UY,1622047273
Lichinga,-13.3128,35.2406,16.05,67,20,1.54,MZ,1622047273
Vardø,70.3705,31.1107,3.99,65,75,2.06,NO,1622047274
General Roca,-39.0333,-67.5833,18.22,42,100,11.27,AR,1622047274
Mayo,38.8876,-76.5119,29.53,74,64,0.89,US,1622047274
Dauphin,51.1494,-100.0502,4.08,56,20,5.14,CA,1622047274
Laas,46.6166,10.7002,17.6,88,96,1.0,IT,1622047275
Meulaboh,4.1363,96.1285,26.24,82,100,2.83,ID,1622047275
Mukhen,48.1,136.1,3.76,93,76,1.34,RU,1622047275
Pacific Grove,36.6177,-121.9166,11.66,87,90,2.24,US,1622047198
Warmbad,-28.45,18.7333,21.23,31,85,2.45,NA,1622047276
Vytegra,61.0064,36.4481,10.59,60,87,5.26,RU,1622047276
Mishan,45.55,131.8833,9.01,85,78,0.37,CN,1622046991
Mahébourg,-20.4081,57.7,23.16,94,75,0.0,MU,1622047277
Beira,-19.8436,34.8389,22.05,73,20,3.41,MZ,1622047277
Ayagoz,47.9714,80.4392,20.52,37,0,4.4,KZ,1622047277
Oistins,13.0667,-59.5333,31.05,51,40,10.8,BB,1622047278
Bilma,18.6853,12.9164,36.8,5,0,1.36,NE,1622047278
Puerto Ayacucho,5.6639,-67.6236,25.97,87,97,2.06,VE,1622047278
Patos,-7.0244,-37.28,35.33,24,1,7.39,BR,1622047279
Mergen,49.1833,125.2167,6.28,86,45,2.55,CN,1622047279
Tuatapere,-46.1333,167.6833,5.14,89,63,3.31,NZ,1622047279
La Tijera,19.9,-104.4,28.14,21,27,1.14,MX,1622047280
Dezful,32.3811,48.4058,32.85,15,0,3.35,IR,1622047280
Lázaro Cárdenas,17.9583,-102.2,29.85,51,100,2.6,MX,1622047280
Naze,28.3667,129.4833,24.35,89,30,8.67,JP,1622047281
Gwadar,25.1216,62.3254,31.37,70,1,5.88,PK,1622047281
Takoradze,4.8845,-1.7554,28.87,73,50,5.39,GH,1622047281
Taku,39.0211,117.6469,16.98,58,21,3.52,CN,1622047282
Shiraz,29.6036,52.5388,24.69,11,0,2.06,IR,1622047282
Vila Franca do Campo,37.7167,-25.4333,18.23,93,100,3.89,PT,1622047282
Whakatane,-37.9585,176.9854,8.62,90,73,0.89,NZ,1622047173
Shubarshi,48.5872,57.1869,27.11,25,9,4.63,KZ,1622047283
Port Lincoln,-34.7333,135.8667,13.68,73,22,3.11,AU,1622047283
Grand Gaube,-20.0064,57.6608,22.99,79,3,1.34,MU,1622047192
Byron Bay,-28.65,153.6167,13.01,78,21,4.09,AU,1622047284
Puerto Rico,-26.796,-55.024,24.95,27,42,0.51,AR,1622047284
Mayumba,-3.432,10.6554,26.49,88,38,3.33,GA,1622047284
Airai,-8.9266,125.4092,13.66,91,85,1.83,TL,1622047280
Tsurib,42.2368,46.8307,9.39,94,100,0.82,RU,1622047285
Elko,41.0002,-115.5012,13.09,44,0,1.34,US,1622047285
Narsaq,60.9167,-46.05,1.12,97,100,2.06,GL,1622047158
Adrar,20.5022,-10.0711,38.74,13,9,4.46,MR,1622047285
Mitsamiouli,-11.3847,43.2844,26.26,68,29,6.37,KM,1622047286
Cap-aux-Meules,47.3821,-61.8597,13.01,76,75,6.17,CA,1622047286
Kitui,-1.367,38.0106,18.99,71,82,2.66,KE,1622047286
Asekeyevo,53.5742,52.7972,14.61,67,73,3.21,RU,1622047287
Taiobeiras,-15.8078,-42.2331,30.36,28,8,2.8,BR,1622047287
Taltal,-25.4,-70.4833,20.46,60,89,1.07,CL,1622047146
Arraial do Cabo,-22.9661,-42.0278,23.92,69,40,4.12,BR,1622047287
Carutapera,-1.195,-46.02,28.99,70,52,3.96,BR,1622047288
Mezen',65.8522,44.24,3.81,59,56,3.29,RU,1622047288
Menzel Salem,35.8567,8.4765,30.0,28,100,3.96,TN,1622047288
Leningradskiy,69.3833,178.4167,-2.33,91,31,3.23,RU,1622047289
La Romana,18.4273,-68.9728,31.2,55,40,6.17,DO,1622047289
Port Hawkesbury,45.6169,-61.3485,20.74,63,1,3.6,CA,1622047289
Xichang,27.8964,102.2634,15.08,78,100,1.02,CN,1622047148
Lavrentiya,65.5833,-171.0,1.05,73,24,5.34,RU,1622047159
Russell,32.3502,-85.1999,29.75,44,1,3.21,US,1622047290
Yumbel,-37.0833,-72.5667,16.13,59,63,2.05,CL,1622047290
Khudumelapye,-23.8833,24.75,15.85,31,0,1.32,BW,1622047291
Tiksi,71.6872,128.8694,-0.19,98,85,0.78,RU,1622047075
São João da Barra,-21.6403,-41.0511,26.05,72,40,5.3,BR,1622047291
Faanui,-16.4833,-151.75,27.36,75,55,6.54,PF,1622047200
Berlevåg,70.8578,29.0864,3.97,65,75,1.03,NO,1622047292
Ust-Tsilma,65.441,52.1498,6.02,38,93,1.67,RU,1622047292
Kupang,-10.1667,123.5833,26.01,76,38,6.37,ID,1622047292
Atar,20.5169,-13.0499,39.86,9,1,4.74,MR,1622047293
Euclides da Cunha,-10.5075,-39.0158,26.17,59,74,4.06,BR,1622047274
Nyrob,60.733,56.7202,5.69,90,100,3.37,RU,1622047293
Iqaluit,63.7506,-68.5145,-1.28,74,90,1.79,CA,1622047293
Emerald,-23.5333,148.1667,15.08,67,18,0.0,AU,1622047294
Avera,33.194,-82.5271,31.87,38,42,2.75,US,1622047246
Taoudenni,22.6783,-3.9836,35.17,23,100,6.91,ML,1622047294
Narasannapeta,18.4167,84.05,30.75,46,100,1.69,IN,1622047294
Gornopravdinsk,60.05,69.9,8.1,90,89,10.62,RU,1622047295
Aracati,-4.5617,-37.7697,32.27,44,15,5.54,BR,1622047295
Fallon,39.4735,-118.7774,15.28,40,40,2.06,US,1622047295
Viedma,-40.8135,-62.9967,17.64,39,100,9.4,AR,1622047296
Port-Gentil,-0.7193,8.7815,27.98,83,75,5.14,GA,1622047229
Harūr,12.0667,78.5,26.53,74,100,4.8,IN,1622047296
Kudahuvadhoo,2.6708,72.8944,28.83,74,97,9.53,MV,1622047297
Esperance,-33.8667,121.9,11.91,67,96,6.75,AU,1622047168
Octeville,49.6261,-1.6435,12.6,55,0,5.83,FR,1622047297
Ouahigouya,13.5828,-2.4216,36.69,25,99,7.49,BF,1622047297
Östersund,63.1792,14.6357,13.25,47,20,5.14,SE,1622047298
Pevek,69.7008,170.3133,-4.06,87,15,0.84,RU,1622047189
Gao,16.6362,1.637,41.99,4,61,2.69,ML,1622047298
Sambava,-14.2667,50.1667,23.77,83,3,5.34,MG,1622047296
Lazarev,52.225,141.5131,0.47,85,91,0.79,RU,1622047299
Olafsvik,64.8945,-23.7142,8.83,77,96,4.12,IS,1622047164
Biograd na Moru,43.9433,15.4519,22.39,57,2,3.87,HR,1622047299
Kisiwani,-4.1333,37.95,21.49,71,96,2.35,TZ,1622047299
Longyearbyen,78.2186,15.6401,1.91,69,75,3.6,SJ,1622047300
Saint Anthony,45.0205,-93.218,12.94,60,40,1.79,US,1622047163
Kaeo,-35.1,173.7833,7.96,91,27,2.73,NZ,1622047300
Yerbogachën,61.2767,108.0108,2.45,56,31,2.39,RU,1622047300
Aswān,24.0934,32.907,35.38,9,0,3.47,EG,1622047271
Los Llanos de Aridane,28.6585,-17.9182,18.4,76,20,5.97,ES,1622047301
Tessalit,20.1986,1.0114,40.67,4,99,5.82,ML,1622047301
Quibdó,5.6947,-76.6611,27.37,87,99,2.68,CO,1622047302
Cortland,42.6001,-76.083,27.96,52,1,6.3,US,1622047302
Akdepe,42.0551,59.3788,32.05,17,99,3.66,TM,1622047302
Marsá Maţrūḩ,31.3525,27.2453,26.11,41,0,4.12,EG,1622047303
Makakilo City,21.3469,-158.0858,21.33,81,1,2.06,US,1622047303
Sinnamary,5.3833,-52.95,28.49,75,87,4.06,GF,1622047303
São Raimundo das Mangabeiras,-7.0219,-45.4811,33.83,28,1,3.07,BR,1622047304
Baykit,61.67,96.37,0.31,95,90,1.23,RU,1622047304
Heihe,50.2441,127.4902,6.32,83,48,2.96,CN,1622047304
Son La,21.3167,103.9,21.61,98,49,0.95,VN,1622047305
Kalakamati,-20.5929,27.3121,14.8,31,4,3.7,BW,1622047305
Bowen,-20.0167,148.2333,14.12,89,11,2.62,AU,1622047305
Champerico,14.3,-91.9167,32.25,59,72,2.02,GT,1622047306
Oskaloosa,41.2964,-92.6444,24.52,41,1,3.76,US,1622047306
New Norfolk,-42.7826,147.0587,7.38,78,98,0.45,AU,1622047307
Tuktoyaktuk,69.4541,-133.0374,-3.0,93,90,2.06,CA,1622047307
Saint-François,46.4154,3.9054,17.69,55,75,4.63,FR,1622047179
Ipixuna,-1.7625,-48.8043,32.97,46,26,1.19,BR,1622047307
Ortaköy,38.7373,34.0387,25.14,42,0,3.79,TR,1622047308
Nīmbāhera,24.6167,74.6833,30.21,45,97,5.54,IN,1622047308
Krasnoarmiys'k,48.282,37.1758,19.36,61,100,2.17,UA,1622047308
Charters Towers,-20.1,146.2667,15.73,91,24,3.15,AU,1622047309
Nerchinskiy Zavod,51.3088,119.61,3.49,89,85,1.06,RU,1622047309
Kiunga,-6.1219,141.2906,22.28,99,100,1.12,PG,1622047309
São Simão,-21.4792,-47.5508,27.25,27,9,2.48,BR,1622047310
Tamandaré,-8.7597,-35.1047,28.0,62,18,5.33,BR,1622047310
Marzuq,14.4,46.4667,26.55,57,7,4.16,YE,1622047310
Grants,35.1473,-107.8514,21.13,9,1,2.57,US,1622047310
Popondetta,-8.7537,148.2534,23.47,84,100,0.39,PG,1622047311
Ahipara,-35.1667,173.1667,10.87,77,12,2.52,NZ,1622047311
Pañgobilian,8.8011,117.8594,27.38,79,52,0.11,PH,1622047312
Kumul,42.8,93.45,26.9,13,0,2.83,CN,1622047312
