City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Tiarei,-17.5333,-149.3333,27.01,76,76,2.4,PF,1621916776
Bandarbeyla,9.4942,50.8122,28.32,65,0,8.94,SO,1621916937
Fukuechō,32.6881,128.8419,24.2,64,0,6.17,JP,1621917359
Ushuaia,-54.8,-68.3,-2.19,86,90,10.29,AR,1621916763
Arlit,18.7369,7.3853,29.93,9,0,2.97,NE,1621917360
Bereket,39.2446,55.5154,31.7,24,1,2.18,TM,1621917360
Mantes-la-Ville,48.9737,1.7025,7.0,92,60,5.94,FR,1621917360
Berdigestyakh,62.0989,126.6992,7.59,81,100,3.15,RU,1621917189
Broken Hill,-31.95,141.4333,16.84,67,75,6.69,AU,1621917361
Vila Franca do Campo,37.7167,-25.4333,17.23,68,100,4.42,PT,1621916788
Bredasdorp,-34.5322,20.0403,11.62,79,92,1.85,ZA,1621916780
Marsh Harbour,26.5412,-77.0636,23.74,64,0,5.61,BS,1621917327
Port Alfred,-33.5906,26.891,18.88,60,100,4.18,ZA,1621916789
Grande Prairie,55.1667,-118.8027,15.1,51,75,7.72,CA,1621917234
Busselton,-33.65,115.3333,16.69,53,99,0.77,AU,1621916770
East London,-33.0153,27.9116,15.52,63,0,1.54,ZA,1621916824
Vardø,70.3705,31.1107,2.11,65,17,1.84,NO,1621916800
Rikitea,-23.1203,-134.9692,24.23,82,100,4.27,PF,1621916768
Cape Town,-33.9258,18.4232,15.3,91,90,2.58,ZA,1621916657
Laas,46.6166,10.7002,8.56,99,100,0.87,IT,1621917362
Albany,42.6001,-73.9662,12.76,72,71,2.56,US,1621916754
Maragogi,-9.0122,-35.2225,23.83,74,78,2.19,BR,1621917363
Khāsh,28.2211,61.2158,32.09,12,2,2.74,IR,1621917363
New Norfolk,-42.7826,147.0587,16.86,48,100,4.78,AU,1621916799
Tiksi,71.6872,128.8694,4.11,87,12,2.43,RU,1621916777
Katangli,51.7102,143.2326,2.27,86,100,4.95,RU,1621917364
Punta Arenas,-53.15,-70.9167,0.06,75,40,10.54,CL,1621917081
Salinas,36.6777,-121.6555,13.55,63,1,4.63,US,1621916894
Inírida,3.8653,-67.9239,23.18,98,89,0.63,CO,1621916814
