City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Avarua,-21.2078,-159.775,28.03,78,20,3.09,CK,1621986827
Jamestown,42.097,-79.2353,25.82,57,1,2.57,US,1621986734
Hermanus,-34.4187,19.2345,14.39,73,44,3.18,ZA,1621986593
Cabo San Lucas,22.8909,-109.9124,31.04,54,66,5.15,MX,1621986812
Bonthe,7.5264,-12.505,26.26,87,99,2.33,SL,1621986756
Albany,42.6001,-73.9662,23.19,62,99,2.41,US,1621986828
Atuona,-9.8,-139.0333,26.72,62,21,6.16,PF,1621986588
Ushuaia,-54.8,-68.3,-1.19,86,75,7.2,AR,1621986828
Siderno,38.2779,16.302,19.68,83,16,6.56,IT,1621986829
Boden,65.8252,21.6886,7.0,88,91,0.62,SE,1621986821
Tura,25.5198,90.2201,23.18,97,100,1.64,IN,1621986829
Mataura,-46.1927,168.8643,9.71,47,93,1.3,NZ,1621986563
Wukari,7.85,9.7833,27.84,70,100,4.69,NG,1621986545
Rikitea,-23.1203,-134.9692,25.15,78,68,6.73,PF,1621986603
Chui,-33.6971,-53.4616,10.03,82,0,3.05,UY,1621986648
Yellowknife,62.456,-114.3525,7.41,39,20,3.09,CA,1621986606
Inverness,57.4791,-4.224,8.74,86,90,0.89,GB,1621986830
Padilla,3.2204,-76.3139,20.78,91,61,1.85,CO,1621986830
Juegang,32.3174,121.1855,18.48,89,100,5.02,CN,1621986831
Guayaramerín,-10.8368,-65.3614,25.39,78,64,0.48,BO,1621986831
Russellville,35.2784,-93.1338,20.23,96,90,2.06,US,1621986817
Aykhal,66.0,111.5,6.6,81,70,5.21,RU,1621986831
Imbituva,-25.23,-50.6044,8.88,71,28,0.19,BR,1621986832
Bredasdorp,-34.5322,20.0403,11.62,76,75,2.6,ZA,1621986832
Khatanga,71.9667,102.5,-0.29,98,100,2.39,RU,1621986832
Kalmunai,7.4167,81.8167,26.01,75,100,1.27,LK,1621986758
Vaini,-21.2,-175.2,22.09,88,90,4.12,TO,1621986833
Busselton,-33.65,115.3333,12.41,75,100,4.44,AU,1621986833
